날짜,종가,시가,고가,저가,거래량,변동 %,log_return
2022.12.30,"3,839.50","3,829.06","3,839.85","3,800.34",,-0.25%,0.002722808
2022.12.29,"3,849.28","3,805.45","3,858.19","3,805.45",,1.75%,0.011451868
2022.12.28,"3,783.22","3,829.56","3,848.32","3,780.78",,-1.20%,-0.012174415
2022.12.27,"3,829.25","3,843.34","3,846.65","3,813.22",,-0.40%,-0.003672819
2022.12.23,"3,844.82","3,815.11","3,845.80","3,797.01",,0.59%,0.00775729
2022.12.22,"3,822.39","3,853.26","3,853.26","3,764.49",,-1.45%,-0.008043662
2022.12.21,"3,878.44","3,839.49","3,889.82","3,839.49",,1.49%,0.010093466
2022.12.20,"3,821.62","3,810.47","3,838.24","3,795.62",,0.10%,0.002921875
2022.12.19,"3,817.66","3,853.79","3,854.86","3,800.04",,-0.90%,-0.00941941
2022.12.16,"3,852.36","3,890.91","3,890.91","3,827.91",,-1.11%,-0.009957116
2022.12.15,"3,895.75","3,958.37","3,958.37","3,879.45",,-2.49%,-0.015946109
2022.12.14,"3,995.32","4,015.54","4,053.76","3,965.65",,-0.61%,-0.005048158
2022.12.13,"4,019.65","4,069.38","4,100.96","3,993.03",,0.73%,-0.01229582
2022.12.12,"3,990.56","3,939.29","3,990.71","3,935.30",,1.43%,0.012931068
2022.12.9,"3,934.38","3,954.17","3,977.02","3,933.04",,-0.73%,-0.005017409
2022.12.8,"3,963.51","3,947.79","3,974.19","3,935.83",,0.75%,0.003974068
2022.12.7,"3,933.92","3,933.28","3,957.57","3,922.68",,-0.19%,0.000162701
2022.12.6,"3,941.26","3,996.63","4,001.51","3,918.39",,-1.44%,-0.013951037
2022.12.5,"3,998.84","4,052.02","4,052.45","3,984.49",,-1.79%,-0.013211203
2022.12.2,"4,071.70","4,040.17","4,080.48","4,026.63",,-0.12%,0.007773832
2022.12.1,"4,076.57","4,087.14","4,100.51","4,050.87",,-0.09%,-0.00258951
2022.11.30,"4,080.11","3,957.18","4,080.11","3,938.58",,3.09%,0.030592298
2022.11.29,"3,957.63","3,964.19","3,976.77","3,937.65",,-0.16%,-0.001656185
