³¯Â¥,S&P 500,CAC
2001.6.18,-0.004952957,-0.013270337
2001.6.19,0.003469644,0.009532961
2001.6.20,0.008621805,0.00190295
2001.6.21,0.011300474,-0.013346242
2001.6.22,-0.009503381,-0.002844952
2001.6.25,-0.005483053,0.014292764
2001.6.26,-0.001478197,-0.016322974
2001.6.27,-0.004695424,-0.006792845
2001.6.28,0.012390919,0.018420298
2001.6.29,-0.001469028,0.00477784
2001.7.2,0.009995614,0.018797546
2001.7.3,-0.001780512,-0.001870908
2001.7.5,-0.012471124,-0.001928641
2001.7.6,-0.023737524,-0.017595762
2001.7.9,0.006863675,0.00490919
2001.7.10,-0.014536239,-0.007897376
2001.7.11,-0.001100902,0.002208614
2001.7.12,0.023364962,-0.007920833
2001.7.13,0.006271165,0.004918849
2001.7.16,-0.01091732,-0.001960785
2001.7.17,0.009847405,0.000990589
2001.7.18,-0.005532403,-0.023012521
2001.7.19,0.006026352,0.004811557
2001.7.20,-0.003462779,-0.000201959
2001.7.23,-0.016488008,0.010086832
2001.7.24,-0.016337605,-0.006071664
2001.7.25,0.015917701,-0.018818309
2001.7.26,0.010361921,-0.000203562
2001.7.27,0.002407939,0.019433648
2001.7.30,-0.001078704,0.010832208
2001.7.31,0.005547061,0.002939738
2001.8.1,0.00387294,0.009671255
2001.8.2,0.004021838,-0.005797118
2001.8.3,-0.005338602,-0.009756175
2001.8.6,-0.011429642,0.008802013
2001.8.7,0.003243381,-0.002925404
2001.8.8,-0.017505368,-0.009842599
2001.8.9,-8.45E-05,-0.008637193
2001.8.10,0.005729709,-0.016942721
2001.8.13,0.000923788,0.007246409
2001.8.14,-0.003868802,0.003980105
2001.8.15,-0.00735826,-0.001996009
2001.8.16,0.003135994,-0.005432062
2001.8.17,-0.016811421,-0.032316601
2001.8.20,0.008056956,-0.008213599
2001.8.21,-0.012109909,0.005522051
2001.8.22,0.006888859,0.017956002
2001.8.23,-0.002749851,-0.006133734
2001.8.24,0.01942967,0.02040681
2001.8.27,-0.00482214,-0.006006024
2001.8.28,-0.015123969,-0.021742195
2001.8.29,-0.011168464,0.007769411
2001.8.30,-0.017211524,-0.023292819
2001.8.31,0.004066124,-0.002943033
2001.9.4,-0.000617692,-0.006095657
2001.9.5,-0.00105979,-0.015189082
2001.9.6,-0.022609426,-0.027926915
2001.9.7,-0.018794459,-0.018361317
2001.9.10,0.006151605,-0.00022818
2001.9.17,-0.050402447,0.042170333
2001.9.18,-0.005889469,0.002018164
2001.9.19,-0.016204962,-0.017342949
2001.9.20,-0.03159315,-0.040393637
2001.9.21,-0.019177125,-0.005190559
2001.9.24,0.038292395,0.030795959
2001.9.25,0.00873108,0.029402404
2001.9.26,-0.005249356,0.023141529
2001.9.27,0.011453522,0.021451927
2001.9.28,0.011984293,-0.001229256
2001.10.1,0.000577923,-0.026878699
2001.10.2,0.01311714,0.006975614
2001.10.3,0.02780058,0.001244555
2001.10.4,-0.002521127,0.014215394
2001.10.5,0.001681458,0.011611161
2001.10.8,0.001978613,0.026240573
2001.10.9,-0.005755547,0.005043844
2001.10.10,0.024061452,0.043809539
2001.10.12,0.003027386,-0.006441246
2001.10.15,0.006073452,-0.017678716
2001.10.16,0.003468423,0.020425643
2001.10.17,-0.027923268,0.006369448
2001.10.18,-0.005412986,0.00626089
2001.10.19,0.006448319,-0.013992766
2001.10.22,0.015161611,0.01509375
2001.10.23,-0.008353654,0.01471447
2001.10.24,0,0.016425164
2001.10.25,0.02522225,-0.02572344
2001.10.26,0.007633625,0.002907304
2001.10.29,-0.019742618,-0.015858964
2001.10.30,-0.017305516,-0.016112433
2001.10.31,-0.006208279,0.022624872
2001.11.1,0.019560981,0.007592352
2001.11.2,0.006181687,-0.007759053
2001.11.5,0.014246816,0.017791259
2001.11.6,0.01449366,-0.008489774
2001.11.7,-0.002774423,0.001114703
2001.11.8,0.002416866,0.015452846
2001.11.9,0.002412978,-0.000664967
2001.11.12,0.005020181,-0.031305338
2001.11.13,0.018428802,0.026212074
2001.11.14,-0.004459024,-0.006124254
2001.11.15,0.000875887,-0.004791993
2001.11.16,-0.003068966,0.000870511
2001.11.19,0.00627453,0.007547206
2001.11.20,-0.005498116,-0.016214819
2001.11.21,-0.002810471,-0.001317523
2001.11.23,0.011629563,-0.008284329
2001.11.26,0.006153332,-0.015237561
2001.11.27,-0.002259299,-0.02250757
2001.11.28,-0.012854553,-0.00964025
