³¯Â¥,S&P 500,DAX
2001.1.2,-0.028424098,-0.022219363
2001.1.3,0.048890347,0.023600467
2001.1.4,-0.01066816,-0.010503661
2001.1.5,-0.026601356,-0.000159804
2001.1.8,-0.001850282,0.003658025
2001.1.9,0.003774025,-0.000552582
2001.1.10,0.009563594,-0.012909835
2001.1.11,0.010226974,0.022567563
2001.1.12,-0.006427,0.001420108
2001.1.16,0.006351628,-0.002823982
2001.1.17,0.002108276,0.017181715
2001.1.18,0.013518261,-0.001045302
2001.1.19,-0.004088465,0.001069499
2001.1.22,0.000297907,0.003382493
2001.1.23,0.01294732,0.006595236
2001.1.24,0.002862702,-0.002463165
2001.1.25,-0.004996704,0.003949825
2001.1.26,-0.001843318,-0.002714677
2001.1.29,0.006840525,0.007711528
2001.1.30,0.006939653,-0.001011463
2001.1.31,-0.005621068,0.007272738
2001.2.1,0.005475465,-0.012434526
2001.2.2,-0.017628073,-0.010743205
2001.2.5,0.003550562,-0.000861117
2001.2.6,-0.001477869,0.009086387
2001.2.7,-0.008465816,-0.016940464
2001.2.8,-0.006433296,0.007776349
2001.2.9,-0.013372314,-0.021328335
2001.2.12,0.011719918,0.010101251
2001.2.13,-0.008682248,-0.00151153
2001.2.14,-0.00220139,-0.01169394
2001.2.15,0.008098436,0.017033753
2001.2.16,-0.019101833,-0.022754215
2001.2.20,-0.017517112,-0.00301178
2001.2.21,-0.018625746,-0.016524679
2001.2.22,-0.001993542,-0.011000141
2001.2.23,-0.005522886,-0.033017369
2001.2.26,0.017346075,0.017785071
2001.2.27,-0.007760571,0.004609933
2001.2.28,-0.014412933,-0.002165739
2001.3.1,0.001047922,-0.014474914
2001.3.2,-0.005655667,0.005769148
2001.3.5,0.005816788,0.007108103
2001.3.6,0.009939165,0.010548658
2001.3.7,0.006439582,0.00499689
2001.3.8,0.002216418,-0.006627043
2001.3.9,-0.025060356,-0.009592138
2001.3.12,-0.044090668,-0.025441962
2001.3.13,0.014719135,-0.012651625
2001.3.14,-0.0262238,-0.029821237
2001.3.15,0.005896697,0.012000513
2001.3.16,-0.019879317,-0.025333415
2001.3.19,0.017490645,-0.01326781
2001.3.20,-0.024380909,0.020706989
2001.3.21,-0.018104438,-0.027804003
2001.3.22,-0.004018401,-0.038413612
2001.3.23,0.019669279,0.027062421
2001.3.26,0.011254208,0.02998065
2001.3.27,0.025270093,0.036713674
2001.3.28,-0.024749711,-0.020533687
2001.3.29,-0.0046061,0.01140113
2001.3.30,0.010657294,-0.006863245
2001.4.2,-0.012488238,-0.014238275
2001.4.3,-0.034988474,-0.034265523
2001.4.4,-0.002986833,0.010726063
2001.4.5,0.042763546,0.027794934
2001.4.6,-0.020177893,-0.016023236
2001.4.9,0.00812008,0.014854614
2001.4.10,0.026714511,0.021639873
2001.4.11,-0.002141971,0.00435484
2001.4.12,0.014982829,0.008181924
2001.4.17,0.0102046,-0.011514462
2001.4.18,0.038193943,0.036950806
2001.4.19,0.012440467,0.000631072
2001.4.20,-0.008571367,-0.007836421
2001.4.23,-0.015076884,-0.010971603
2001.4.24,-0.012243877,0.010702716
2001.4.25,0.015831032,-0.001473929
2001.4.26,0.004627946,0.000573351
2001.4.27,0.014874646,0.00950376
2001.4.30,-0.002797205,0.014111368
2001.5.2,0.000789328,-0.009321004
2001.5.3,-0.014944634,-0.019914778
2001.5.4,0.014313221,0.006810053
2001.5.7,-0.002450497,-0.002495813
2001.5.8,-0.004351445,-0.000471346
2001.5.9,-0.004529749,-0.007129935
2001.5.10,-0.000238977,0.019326939
2001.5.11,-0.007597302,-0.003334271
2001.5.14,0.002565543,-0.009480564
2001.5.15,0.000400272,-0.000410104
