³¯Â¥,S&P 500,FTSE
2001.1.3,0.048890347,-0.022072843
2001.1.4,-0.01066816,0.023836555
2001.1.5,-0.026601356,0.002018783
2001.1.8,-0.001850282,-0.007855754
2001.1.9,0.003774025,-0.010050993
2001.1.10,0.009563594,-0.004527241
2001.1.11,0.010226974,0.009035117
2001.1.12,-0.006427,0.008240821
2001.1.16,0.006351628,-0.014200147
2001.1.17,0.002108276,0.018582537
2001.1.18,0.013518261,0.002014943
2001.1.19,-0.004088465,-9.66E-05
2001.1.22,0.000297907,0.00364914
2001.1.23,0.01294732,-0.002779855
2001.1.24,0.002862702,0.00796536
2001.1.25,-0.004996704,-0.001405751
2001.1.26,-0.001843318,0.006167399
2001.1.29,0.006840525,0.00359995
2001.1.30,0.006939653,0.002766472
2001.1.31,-0.005621068,-0.005858155
2001.2.1,0.005475465,-0.007283307
2001.2.2,-0.017628073,0.000735518
2001.2.5,0.003550562,0.002043815
2001.2.6,-0.001477869,0.00385271
2001.2.7,-0.008465816,-0.010831642
2001.2.8,-0.006433296,-0.003137144
2001.2.9,-0.013372314,-0.006758093
2001.2.12,0.011719918,0.01242993
2001.2.13,-0.008682248,-0.002068983
2001.2.14,-0.00220139,-0.008432338
2001.2.15,0.008098436,0.003507329
2001.2.16,-0.019101833,-0.017841628
2001.2.20,-0.017517112,-0.01886739
2001.2.21,-0.018625746,-0.001288434
2001.2.22,-0.001993542,0.005127146
2001.2.23,-0.005522886,-0.009944167
2001.2.26,0.017346075,-0.004552974
2001.2.27,-0.007760571,0.004132272
2001.2.28,-0.014412933,-0.003929477
2001.3.1,0.001047922,-0.00157274
2001.3.2,-0.005655667,-0.00849825
2001.3.5,0.005816788,0.012332746
2001.3.6,0.009939165,0.013514059
2001.3.7,0.006439582,-0.001698048
2001.3.8,0.002216418,0.000233236
2001.3.9,-0.025060356,-0.014412397
2001.3.12,-0.044090668,-0.015463787
2001.3.13,0.014719135,-0.018325302
2001.3.14,-0.0262238,-0.01671024
2001.3.15,0.005896697,0.01819497
2001.3.16,-0.019879317,-0.029474326
2001.3.19,0.017490645,-0.002015404
2001.3.20,-0.024380909,0.017002839
2001.3.21,-0.018104438,-0.018968166
2001.3.22,-0.004018401,-0.041625465
2001.3.23,0.019669279,0.016329407
2001.3.26,0.011254208,0.031754483
2001.3.27,0.025270093,0.026804616
2001.3.28,-0.024749711,-0.02012041
2001.3.29,-0.0046061,-0.004570457
2001.3.30,0.010657294,0.008073399
2001.4.2,-0.012488238,-0.002701696
2001.4.3,-0.034988474,-0.02804833
2001.4.4,-0.002986833,0.013201632
2001.4.5,0.042763546,0.015433871
2001.4.6,-0.020177893,-0.003617478
2001.4.9,0.00812008,0.010972342
2001.4.10,0.026714511,0.024368264
2001.4.11,-0.002141971,-0.002570939
2001.4.12,0.014982829,-0.003721434
2001.4.17,0.0102046,-0.000954223
2001.4.18,0.038193943,0.022161524
2001.4.19,0.012440467,-0.003162784
2001.4.20,-0.008571367,0.001395579
2001.4.23,-0.015076884,-0.001446673
2001.4.24,-0.012243877,-0.005293909
2001.4.25,0.015831032,-0.002194073
2001.4.26,0.004627946,0.006976892
2001.4.27,0.014874646,0.014061502
2001.4.30,-0.002797205,0.002601044
2001.5.1,0.013434758,-0.006540642
2001.5.2,0.000789328,-0.004022926
2001.5.3,-0.014944634,-0.02372005
2001.5.4,0.014313221,0.017961827
2001.5.8,-0.004351445,0.002738866
2001.5.9,-0.004529749,0.001239378
2001.5.10,-0.000238977,0.011857413
2001.5.11,-0.007597302,-0.011331566
2001.5.14,0.002565543,-0.035611713
2001.5.15,0.000400272,0.026429131
2001.5.16,0.028095282,0.007009554
2001.5.17,0.002720033,0.003477969
2001.5.18,0.002712654,0.001776725
2001.5.21,0.015970855,0.00448696
2001.5.22,-0.002593244,0.005873387
2001.5.23,-0.015702293,-0.013340269
2001.5.24,0.003253043,0.003132066
2001.5.25,-0.011901661,-0.0044216
2001.5.29,-0.007856117,-0.00440713
2001.5.30,-0.015739594,-0.011491619
2001.5.31,0.006150425,-0.000138014
2001.6.1,0.003894303,0.002326444
2001.6.4,0.005063703,0.008040434
2001.6.5,0.012937805,0.011206502
2001.6.6,-0.01065173,-0.003552101
2001.6.7,0.005496677,0.007898909
2001.6.8,-0.009441455,0.00038659
2001.6.11,-0.008414752,-0.015257131
2001.6.12,0.001115449,-0.009687589
2001.6.13,-0.011371949,0.00278729
2001.6.14,-0.017631982,-0.011700082
2001.6.15,-0.004518761,-0.0051414
2001.6.18,-0.004952957,-0.009021879
2001.6.19,0.003469644,0.001550388
2001.6.20,0.008621805,0.003374344
2001.6.21,0.011300474,-0.010263735
2001.6.22,-0.009503381,0.004298191
2001.6.25,-0.005483053,-0.000670928
2001.6.26,-0.001478197,-0.018935097
2001.6.27,-0.004695424,0.00935189
2001.6.28,0.012390919,0.005424019
2001.6.29,-0.001469028,0.000726892
2001.7.2,0.009995614,0.013064486
2001.7.3,-0.001780512,-0.013525381
2001.7.5,-0.012471124,-0.009130026
2001.7.6,-0.023737524,-0.012766748
2001.7.9,0.006863675,-0.001881606
2001.7.10,-0.014536239,-0.000182869
2001.7.11,-0.001100902,-0.013996803
2001.7.12,0.023364962,0.016499202
2001.7.13,0.006271165,0.010055809
2001.7.16,-0.01091732,-0.003600478
2001.7.17,0.009847405,-0.016318465
2001.7.18,-0.005532403,-0.004283453
2001.7.19,0.006026352,0.006050563
2001.7.20,-0.003462779,-0.009293799
2001.7.23,-0.016488008,0.003372747
2001.7.24,-0.016337605,-0.015869057
2001.7.25,0.015917701,-0.008399525
2001.7.26,0.010361921,0.001969362
2001.7.27,0.002407939,0.021892129
2001.7.30,-0.001078704,0.008037058
2001.7.31,0.005547061,0.015015133
2001.8.1,0.00387294,0.00321416
2001.8.2,0.004021838,0.00675569
2001.8.3,-0.005338602,-0.006629501
2001.8.6,-0.011429642,-0.003828793
2001.8.7,0.003243381,0.001880108
2001.8.8,-0.017505368,-0.010950506
2001.8.9,-8.45E-05,-0.013530364
2001.8.10,0.005729709,0.004487501
2001.8.13,0.000923788,0.000718345
2001.8.14,-0.003868802,0.014023578
2001.8.15,-0.00735826,-0.008423482
2001.8.16,0.003135994,-0.013233509
2001.8.17,-0.016811421,-0.008889444
2001.8.20,0.008056956,0.002859949
2001.8.21,-0.012109909,0.013515598
2001.8.22,0.006888859,-0.003985613
2001.8.23,-0.002749851,-0.002258173
2001.8.24,0.01942967,0.01387531
2001.8.28,-0.015123969,-0.006821584
2001.8.29,-0.011168464,-0.003151408
2001.8.30,-0.017211524,-0.015795236
2001.8.31,0.004066124,0.002303868
2001.9.4,-0.000617692,0.012626785
2001.9.5,-0.00105979,-0.011892881
2001.9.6,-0.022609426,-0.021235934
2001.9.7,-0.018794459,-0.02608522
2001.9.10,0.006151605,-0.007244687
2001.9.17,-0.050402447,0.029666791
2001.9.18,-0.005889469,-0.010300062
2001.9.19,-0.016204962,-0.026541724
2001.9.20,-0.03159315,-0.035526336
2001.9.21,-0.019177125,-0.027408118
2001.9.24,0.038292395,0.039839036
2001.9.25,0.00873108,0.010671309
2001.9.26,-0.005249356,0.006987581
2001.9.27,0.011453522,0.014271308
2001.9.28,0.011984293,0.028925157
2001.10.1,0.000577923,-0.024317433
2001.10.2,0.01311714,0.009711136
2001.10.3,0.02780058,0.01019146
2001.10.4,-0.002521127,0.027158671
2001.10.5,0.001681458,0.003939441
2001.10.8,0.001978613,-0.000655497
2001.10.9,-0.005755547,-0.004560625
2001.10.10,0.024061452,0.028202481
2001.10.11,0.015057207,0.002287266
2001.10.12,0.003027386,-0.003763195
2001.10.15,0.006073452,-0.015314415
2001.10.16,0.003468423,0.00301481
2001.10.17,-0.027923268,0.023489316
2001.10.18,-0.005412986,-0.016939374
2001.10.19,0.006448319,-0.019401222
2001.10.22,0.015161611,0.010448049
2001.10.23,-0.008353654,0.023949623
2001.10.24,0,-0.004960969
2001.10.25,0.02522225,-0.015798733
2001.10.26,0.007633625,0.01985428
2001.10.29,-0.019742618,-0.019991906
2001.10.30,-0.017305516,-0.016314352
2001.10.31,-0.006208279,0.007188903
2001.11.1,0.019560981,0.006230919
2001.11.2,0.006181687,0.011430713
2001.11.5,0.014246816,0.015398908
2001.11.6,0.01449366,0.000959398
2001.11.7,-0.002774423,0.000421844
2001.11.8,0.002416866,0.011777846
2001.11.9,0.002412978,-0.00644348
2001.11.12,0.005020181,-0.018864126
2001.11.13,0.018428802,0.025118126
2001.11.14,-0.004459024,-0.006921627
2001.11.15,0.000875887,-0.000477149
2001.11.16,-0.003068966,0.010029336
2001.11.19,0.00627453,0.008843787
2001.11.20,-0.005498116,-0.007389544
2001.11.21,-0.002810471,0.002845703
2001.11.23,0.011629563,-0.009906934
2001.11.26,0.006153332,0.00175543
2001.11.27,-0.002259299,-0.006907346
2001.11.28,-0.012854553,-0.011612935
2001.11.29,0.008101488,0.000633781
2001.11.30,-0.000438693,-0.000941213
2001.12.3,-0.008460436,-0.007523039
2001.12.4,0.009037924,0.00915519
2001.12.5,0.016281533,0.023024838
2001.12.6,-0.000856458,0.006782981
