³¯Â¥,S&P 500,KOSPI
2000.1.4,-0.039099775,0.02942671
2000.1.5,0.001927539,-0.020631081
2000.1.6,0.000998004,-0.053853011
2000.1.7,0.026715121,-0.000547997
2000.1.10,0.011107009,0.007697391
2000.1.11,-0.013120829,-0.010985669
2000.1.12,-0.004806195,-0.003105089
2000.1.13,0.012144915,-0.004207528
2000.1.14,0.010635113,-0.011317214
2000.1.18,-0.006917125,-0.01092298
2000.1.19,0.000549639,-0.032003318
2000.1.20,-0.007099806,0.020053848
2000.1.21,-0.002909597,-0.003657534
2000.1.24,-0.028071772,0.009584288
2000.1.25,0.006046613,-0.019885788
2000.1.26,-0.004193176,-0.012122177
2000.1.27,-0.003924792,0.023322337
2000.1.28,-0.027839989,0.02030739
2000.1.31,0.02490418,0.020389103
2000.2.1,0.010557199,-0.028332371
2000.2.2,-0.000141924,0.014840553
2000.2.3,0.011220611,-4.21E-05
2000.2.7,-0.00014042,0.020661463
2000.2.8,0.01221272,-0.016354986
2000.2.9,-0.022137506,0.008767382
2000.2.10,0.003606156,-0.000186283
2000.2.11,-0.021185571,-0.037970321
2000.2.14,0.002016565,-0.023940703
2000.2.15,0.008667987,-0.041406568
2000.2.16,-0.010252088,-0.001738113
2000.2.17,0.000432277,0.031889598
2000.2.18,-0.030868454,-0.024239184
2000.2.22,0.004521373,0.006977061
2000.2.23,0.006266378,0.016636423
2000.2.24,-0.005379328,-0.008220955
2000.2.25,-0.014887874,0.010111545
2000.2.28,0.010889941,-0.037563495
2000.2.29,0.013557532,-0.017862638
2000.3.2,0.001883376,0.033968619
2000.3.3,0.01963517,-0.01660203
2000.3.6,-0.012783606,0.001948385
2000.3.7,-0.025994401,0.000363767
2000.3.8,0.008154914,0.022088575
2000.3.9,0.025286711,-0.042190731
2000.3.10,-0.004719688,-0.012209755
2000.3.13,-0.008277299,-0.041494784
2000.3.14,-0.017792507,0.004260664
2000.3.15,0.023988938,0.000214941
2000.3.16,0.046523281,-0.007909485
